,route_id,stop_id,stop_name
0,1,1,THIRUVOTRIYUR
1,1,2,THIRUVOTRIYUR TEMPLE
2,1,3,THANGAL
3,1,4,ANNA NAGAR
4,1,5,ROYAPURAM P.S
5,1,6,CLIVE BATTERY
6,1,7,PARRYS
7,1,8,M.G.R.CENTRAL
8,1,9,P.OR & SONS
9,1,10,WESLEY H.S
10,1,11,Y.M.I.A
11,1,12,MANDAVELI
12,1,13,A.M.S.HOSPITAL
13,1,14,ADYAR O.T.
14,1,15,ADYAR DEPOT
15,1,16,THIRUVANMIYUR
16,101,1,THIRUVOTRIYUR
17,101,2,THRUVOTRIYUR TEMPLE
18,101,3,THANGAL
19,101,4,ANNA NAGAR
20,101,5,ROYAPURAM P.S
21,101,6,CLIVE BATTERY
22,101,7,PARRYS
23,101,8,M.G.R.CENTRAL
24,101,9,DASAPRAKASH
25,101,10,TAYLORS ROAD
26,101,11,AMINJIKARAI
27,101,12,NADUVANKARAI
28,101,13,ARUMBAKKAM
29,101,14,NERKUNDRAM
30,101,15,MADURAVOYAL
31,101,16,VAANAGARAM
32,101,17,VELAPPANCHAVADI
33,101,18,KUMUNANCHAVADI
34,101,19,POONAMALLEE
35,102,1,BROADWAY
36,102,2,SECRETARIAT
37,102,3,CHEPAUK
38,102,4,Q.M.C
39,102,5,FORESHORE ESTATE
40,102,6,A.M.S.HOSPITAL
41,102,7,ADYAR O.T.
42,102,8,INDIRA NAGAR WATER TANK
43,102,9,SRP TOOLS
44,102,10,KANDANCHAVADI
45,102,11,THORAPPAKKAM TEA SHOP
46,102,12,MOOTAKARAN CHAVADI
47,102,13,KARAPAKKAM
48,102,14,SHOZHANGANALLUR P.U.OFFICE
49,102,15,KUMARAN NAGAR
50,102,16,SEMMANCHERI
51,102,17,NAVALUR
52,102,18,CHURCH
53,102,19,PALAVASTHIC CHEMICALS
54,102,20,HINDUSTAN ENG. COLLEGE
55,102,21,KELAMBAKKAM
56,102A,1,THIRUVANMIYUR
57,102A,2,SRP TOOLS
58,102A,3,KANDANCHAVADI
59,102A,4,THORAPPAKKAM TEA SHOP
60,102A,5,MOOTAKARAN CHAVADI
61,102A,6,KARAPAKKAM
62,102A,7,SHOZHANGANALLUR P.U.OFFICE
63,102A,8,KUMARAN NAGAR
64,102A,9,SEMMANCHERI
65,102A,10,NAVALUR
66,102A,11,SIPCOT
67,102A,12,SIRUSERI I.T.PARK
68,102A,13,PUDUPAKKAM P.U.O.
69,102A,14,PUDUPAKKAM/VANDALOOR RD.J
70,102C,1,BROADWAY
71,102C,2,SECRETARIAT
72,102C,3,CHEPAUK
73,102C,4,Q.M.C
74,102C,5,FORESHORE ESTATE
75,102C,6,A.M.S.HOSPITAL
76,102C,7,ADYAR O.T.
77,102C,8,ADYAR DEPOT
78,102C,9,SRP TOOLS
79,102C,10,KANDANCHAVADI
80,102C,11,THORAPPAKKAM TEA SHOP
81,102C,12,MOOTAKARAN CHAVADI
82,102C,13,KARAPAKKAM
83,102C,14,SHOZHANGANALLUR P.U.OFFICE
84,102C,15,KUMARAN NAGAR
85,102C,16,NUCLEUS COMPANY
86,102C,17,SEMMANCHERI S.C.B.
87,102CT,1,THIRUVANMIYUR
88,102CT,2,SRP TOOLS
89,102CT,3,KANDANCHAVADI
90,102CT,4,THORAPPAKKAM TEA SHOP
91,102CT,5,MOOTAKARAN CHAVADI
92,102CT,6,KARAPAKKAM
93,102CT,7,SHOZHANGANALLUR P.U.OFFICE
94,102CT,8,KUMARAN NAGAR
95,102CT,9,SEMMANCHERI
96,102CT,10,NAVALUR
97,102CT,11,SIPCOT
98,102CT,12,SIRUSERI I.T.PARK
99,102K,1,BROADWAY
100,102K,2,SECRETARIAT
101,102K,3,CHEPAUK
102,102K,4,Q.M.C
103,102K,5,FORESHORE ESTATE
104,102K,6,A.M.S.HOSPITAL
105,102K,7,ADYAR O.T.
106,102K,8,INDIRA NAGAR
107,102K,9,SRP TOOLS
108,102K,10,KANDANCHAVADI
109,102K,11,THORAPPAKKAM TEA SHOP
110,102K,12,THORAPPAKKAM P.T.C COLONY
111,102K,13,KANNAGI NAGAR S.C.B.
112,102K#,1,BROADWAY
113,102K#,2,SECRETARIAT
114,102K#,3,CHEPAUK
115,102K#,4,Q.M.C
116,102K#,5,FORESHORE ESTATE
117,102K#,6,A.M.S.HOSPITAL
118,102K#,7,ADYAR O.T.
119,102K#,8,INDIRA NAGAR
120,102K#,9,SRP TOOLS
121,102K#,10,KANDANCHAVADI
122,102K#,11,THORAPPAKKAM TEA SHOP
123,102K#,12,THORAPPAKKAM P.T.C COLONY
124,102K#,13,KANNAGI NAGAR S.C.B.
125,102M,1,ADYAR B.S.
126,102M,2,ADYAR DEPOT
127,102M,3,SRP TOOLS
128,102M,4,KANDANCHAVADI
129,102M,5,THORAPPAKKAM TEA SHOP
130,102M,6,MOOTAKARAN CHAVADI
131,102M,7,KARAPAKKAM
132,102M,8,SHOZHANGANALLUR P.U.OFFICE
133,102M,9,KUMARAN NAGAR
134,102M,10,SEMMANCHERI
135,102M,11,NAVALUR
136,102M,12,CHURCH
137,102M,13,PALAVASTHIC CHEMICALS
138,102M,14,HINDUSTAN ENG. COLLEGE
139,102M,15,KELAMBAKKAM
140,102M,16,CHENGAMMAL RD. JN.
141,102M,17,KOMAN NAGAR RD JN.
142,102M,18,KALAVAKKAM TEA STALL
143,102M,19,THIRUPORUR
144,102M,20,MANAMATHI ROAD JN
145,102M,21,CHIRUTHAVOOR JN.
146,102M,22,AMMUR COLONY
147,102M,23,KALAVAKKAM
148,102M,24,MANAMATHI SCHOOL
149,102M,25,MANAMATHI
150,102P,1,BROADWAY
151,102P,2,SECRETARIAT
152,102P,3,CHEPAUK
153,102P,4,Q.M.C
154,102P,5,FORESHORE ESTATE
155,102P,6,A.M.S.HOSPITAL
156,102P,7,ADYAR O.T.
157,102P,8,ADYAR DEPOT
158,102P,9,SRP TOOLS
159,102P,10,KANDANCHAVADI
160,102P,11,THORAPPAKKAM TEA SHOP
161,102P,12,MOOTAKARAN CHAVADI
162,102P,13,KARAPAKKAM
163,102P,14,SHOZHANGANALLUR P.U.OFFICE
164,102P,15,KUMARAN NAGAR
165,102P,16,NUCLEUS COMPANY
166,102P,17,PERUMPAKKAM S.C.B.
167,102S,1,BROADWAY
168,102S,2,SECRETARIAT
169,102S,3,CHEPAUK
170,102S,4,Q.M.C
171,102S,5,FORESHORE ESTATE
172,102S,6,A.M.S.HOSPITAL
173,102S,7,ADYAR O.T.
174,102S,8,ADYAR DEPOT
175,102S,9,SRP TOOLS
176,102S,10,KANDANCHAVADI
177,102S,11,THORAPPAKKAM TEA SHOP
178,102S,12,OKK.THORAIPAKM SEC.COLONY
179,102X,1,BROADWAY
180,102X,2,SECRETARIAT
181,102X,3,CHEPAUK
182,102X,4,Q.M.C
183,102X,5,FORESHORE ESTATE
184,102X,6,A.M.S.HOSPITAL
185,102X,7,ADYAR O.T.
186,102X,8,INDIRA NAGAR WATER TANK
187,102X,9,SRP TOOLS
188,102X,10,KANDANCHAVADI
189,102X,11,THORAPPAKKAM TEA SHOP
190,102X,12,MOOTAKARAN CHAVADI
191,102X,13,KARAPAKKAM
192,102X,14,SHOZHANGANALLUR P.U.OFFICE
193,102X,15,KUMARAN NAGAR
194,102X,16,SEMMANCHERI
195,102X,17,NAVALUR
196,102X,18,CHURCH
197,102X,19,PALAVASTHIC CHEMICALS
198,102X,20,HINDUSTAN ENG. COLLEGE
199,102X,21,KELAMBAKKAM
200,102X,22,CHENGAMMAL RD. JN.
201,102X,23,KOMAN NAGAR RD JN.
202,102X,24,KALAVAKKAM TEA STALL
203,102X,25,THIRUPORUR
204,104,1,REDHILLS
205,104,2,AYURVEDHA ASHARAMAM
206,104,3,KAVANGARAI
207,104,4,SCREW FACTORY
208,104,5,SURAPEDU
209,104,6,KALLIKUPPAM
210,104,7,PUDUR
211,104,8,AMBATTUR O.T.
212,104,9,DUNLOP
213,104,10,AMBATTUR I.E.
214,104,11,NALAMBUR SERVICE RD
215,104,12,MADURAVOYAL JN
216,104,13,TVS MCC MOTORS
217,104,14,TOLL PLAZA
218,104,15,PORUR JN
219,104,16,MANGADU RD JN
220,104,17,KOVOOR RD JN
221,104,18,PAMMAL ADAYAR BRIDGE
222,104,19,THENDRAL NAGAR
223,104,20,THIRUNEERMALAI RD JN.
224,104,21,PETROL BUNK
225,104,22,MUDICHUR RD JN.
226,104,23,IRUMBULIYUR
227,104,24,TAMBARAM
228,104A,1,AVADI
229,104A,2,POLYTECHNIC
230,104A,3,THIRUMULLAIVOYAL
231,104A,4,AMBATTUR O.T.
232,104A,5,DUNLOP
233,104A,6,AMBATTUR I.E.
234,104A,7,NOLAMBUR SERVICE RD
235,104A,8,MADURAVOYAL JN
236,104A,9,TVS MCC MOTORS
237,104A,10,TOLL PLAZA
238,104A,11,PORUR JN
239,104A,12,MANGADU RD JN
240,104A,13,KOVOOR RD JN
241,104A,14,PAMMAL ADAYAR BRIDGE
242,104A,15,THENDRAL NAGAR
243,104A,16,THIRUNEERMALAI RD.JN.
244,104A,17,PETROL BUNK
245,104A,18,MUDICHUR RD.JN.
246,104A,19,IRUMBULIYUR
247,104A,20,PERUNGALATHUR
248,104A,21,VANDALUR GATE
249,104A,22,VANDALUR ZOO
250,104A,23,KILAMBAKKAM B.S.
251,104C,1,M.G.R.KOYAMBEDU
252,104C,2,KOYAMBEDU SCHOOL
253,104C,3,NERKUNDRAM
254,104C,4,MADURAVOYAL
255,104C,5,TVS MCC MOTORS
256,104C,6,TOLL PLAZA
257,104C,7,PORUR JN
258,104C,8,MANGADU RD JN
259,104C,9,KOVOOR RD JN
260,104C,10,PAMMAL ADAYAR BRIDGE
261,104C,11,THENDRAL NAGAR
262,104C,12,THIRUNEERMALAI RD.JN.
263,104C,13,PETROL BUNK
264,104C,14,MUDICHUR RD.JN.
265,104C,15,PERUNGALATHUR
266,104C,16,VANDALUR GATE
267,104C,17,VANDALUR ZOO
268,104C,18,KILAMBAKKAM B.S.
269,104CX,1,M.G.R.KOYAMBEDU
270,104CX,2,KOYAMBEDU SCHOOL
271,104CX,3,NERKUNDRAM
272,104CX,4,MADURAVOYAL
273,104CX,5,TVS MCC MOTORS
274,104CX,6,TOLL PLAZA
275,104CX,7,PORUR JN
276,104CX,8,MANGADU RD JN
277,104CX,9,KOVOOR RD JN
278,104CX,10,PAMMAL ADAYAR BRIDGE
279,104CX,11,THENDRAL NAGAR
280,104CX,12,THIRUNEERMALAI RD.JN.
281,104CX,13,PETROL BUNK
282,104CX,14,MUDICHUR RD.JN.
283,104CX,15,PERUNGALATHUR
284,104CX,16,VANDALUR GATE
285,104CX,17,VANDALUR ZOO
286,104CX,18,URAPAKKAM
287,104CX,19,PALAKKA COMPANY
288,104CX,20,GUDUVANCHERY
289,104F,1,MADHAVARAM B.S.
290,104F,2,MADHAVARAM POST BOX
291,104F,3,MOOLAKADAI
292,104F,4,KALPANA LAMPS/MADHAVARAM
293,104F,5,BUS BAY-17TH KM
294,104F,6,MALLIGAI NAGAR AVE
295,104F,7,THATHANKUPPAM
296,104F,8,LUCAS TVS
297,104F,9,AMBATTUR I.E.
298,104F,10,NOLAMBUR SERVICE RD
299,104F,11,MADURAVOYAL JN
300,104F,12,TVS MCC MOTORS
301,104F,13,TOLL PLAZA
302,104F,14,PORUR JN
303,104F,15,MANGADU RD JN
304,104F,16,KOVOOR RD JN
305,104F,17,PAMMAL ADAYAR BRIDGE
306,104F,18,THENDRAL NAGAR
307,104F,19,THIRUNEERMALAI RD.JN.
308,104F,20,PETROL BUNK
309,104F,21,MUDICHUR RD.JN.
310,104F,22,PERUNGALATHUR
311,104F,23,VANDALUR GATE
312,104F,24,VANDALUR ZOO
313,104F,25,KILAMBAKKAM B.S.
314,104G,1,M.K.B.NAGAR
315,104G,2,VYASARPADI
316,104G,3,P1.POLICE STATION
317,104G,4,DASAMAHAN
318,104G,5,SAYANI/AYNAVARAM
319,104G,6,KAMABAR ARANGAM
320,104G,7,NATHAMUNI TALKIES
321,104G,8,LUCAS TVS
322,104G,9,AMBATTUR I.E.
323,104G,10,NOLAMBUR SERVICE RD
324,104G,11,MADURAVOYAL JN
325,104G,12,TVS MCC MOTORS
326,104G,13,TOLL PLAZA
327,104G,14,PORUR JN
328,104G,15,MANGADU RD JN
329,104G,16,KOVOOR RD JN
330,104G,17,PAMMAL ADAYAR BRIDGE
331,104G,18,THENDRAL NAGAR
332,104G,19,THIRUNEERMALAI RD.JN.
333,104G,20,PETROL BUNK
334,104G,21,MUDICHUR RD.JN.
335,104G,22,PERUNGALATHUR
336,104G,23,VANDALUR GATE
337,104G,24,VANDALUR ZOO
338,104G,25,KILAMBAKKAM B.S.
339,104H,1,K.KANNADASAN NAGAR
340,104H,2,SIDCO
341,104H,3,KALPANA LAMPS/MADHAVARAM
342,104H,4,BUS BAY-17TH KM
343,104H,5,MALLIGAI NAGAR AVE
344,104H,6,THATHANKUPPAM
345,104H,7,LUCAS TVS
346,104H,8,AMBATTUR I.E.
347,104H,9,NOLAMBUR SERVICE RD
348,104H,10,MADURAVOYAL JN
349,104H,11,TVS MCC MOTORS
350,104H,12,TOLL PLAZA
351,104H,13,PORUR JN
352,104H,14,MANGADU RD JN
353,104H,15,KOVOOR RD JN
354,104H,16,PAMMAL ADAYAR BRIDGE
355,104H,17,THENDRAL NAGAR
356,104H,18,THIRUNEERMALAI RD.JN.
357,104H,19,PETROL BUNK
358,104H,20,MUDICHUR RD.JN.
359,104H,21,PERUNGALATHUR
360,104H,22,VANDALUR GATE
361,104H,23,VANDALUR ZOO
362,104H,24,KILAMBAKKAM B.S.
363,104K,1,REDHILLS
364,104K,2,AYURVEDHA ASHARAMAM
365,104K,3,KAVANGARAI
366,104K,4,SCREW FACTORY
367,104K,5,SURAPEDU
368,104K,6,KALLIKUPPAM
369,104K,7,PUDUR
370,104K,8,AMBATTUR O.T.
371,104K,9,DUNLOP
372,104K,10,AMBATTUR I.E.
373,104K,11,NALAMBUR SERVICE RD
374,104K,12,MADURAVOYAL JN
375,104K,13,TVS MCC MOTORS
376,104K,14,TOLL PLAZA
377,104K,15,PORUR JN
378,104K,16,MANGADU RD JN
379,104K,17,KOVOOR RD JN
380,104K,18,PAMMAL ADAYAR BRIDGE
381,104K,19,THENDRAL NAGAR
382,104K,20,THIRUNEERMALAI RD JN.
383,104K,21,PETROL BUNK
384,104K,22,MUDICHUR RD JN.
385,104K,23,PERUNGALATHUR
386,104K,24,VANDALUR GATE
387,104K,25,VANDALUR ZOO
388,104K,26,KILAMBAKKAM B.S.
389,104M,1,M.M.B.T.
390,104M,2,MALLIGAI NAGAR AVE
391,104M,3,THATHANKUPPAM
392,104M,4,LUCAS TVS
393,104M,5,AMBATTUR I.E.
394,104M,6,NOLAMBUR SERVICE RD
395,104M,7,MADURAVOYAL JN
396,104M,8,TVS MCC MOTORS
397,104M,9,TOLL PLAZA
398,104M,10,PORUR JN
399,104M,11,MANGADU RD JN
400,104M,12,KOVOOR RD JN
401,104M,13,PAMMAL ADAYAR BRIDGE
402,104M,14,THENDRAL NAGAR
403,104M,15,THIRUNEERMALAI RD.JN.
404,104M,16,PETROL BUNK
405,104M,17,MUDICHUR RD.JN.
406,104M,18,IRUMBULIYUR
407,104M,19,PERUNGALATHUR
408,104M,20,VANDALUR GATE
409,104M,21,VANDALUR ZOO
410,104M,22,KILAMBAKKAM B.S.
411,104P,1,PERAMBUR
412,104P,2,VENUS
413,104P,3,SRP COLONY
414,104P,4,KOLATHUR NEHRU NAGAR RD.JN.
415,104P,5,MALLIGAI NAGAR AVE
416,104P,6,THATHANKUPPAM
417,104P,7,LUCAS TVS
418,104P,8,AMBATTUR I.E.
419,104P,9,NOLAMBUR SERVICE RD
420,104P,10,MADURAVOYAL JN
421,104P,11,TVS MCC MOTORS
422,104P,12,TOLL PLAZA
423,104P,13,PORUR JN
424,104P,14,MANGADU RD JN
425,104P,15,KOVOOR RD JN
426,104P,16,PAMMAL ADAYAR BRIDGE
427,104P,17,THENDRAL NAGAR
428,104P,18,THIRUNEERMALAI RD.JN.
429,104P,19,PETROL BUNK
430,104P,20,MUDICHUR RD.JN.
431,104P,21,PERUNGALATHUR
432,104P,22,VANDALUR GATE
433,104P,23,VANDALUR ZOO
434,104P,24,KILAMBAKKAM B.S.
435,104T,1,THIRU.VI.KA.NAGAR
436,104T,2,SRP COLONY
437,104T,3,KOLATHUR NEHRU NAGAR RD.JN.
438,104T,4,MALLIGAI NAGAR AVE
439,104T,5,THATHANKUPPAM
440,104T,6,LUCAS TVS
441,104T,7,AMBATTUR I.E.
442,104T,8,NOLAMBUR SERVICE RD
443,104T,9,MADURAVOYAL JN
444,104T,10,TVS MCC MOTORS
445,104T,11,TOLL PLAZA
446,104T,12,PORUR JN
447,104T,13,MANGADU RD JN
448,104T,14,KOVOOR RD JN
449,104T,15,PAMMAL ADAYAR BRIDGE
450,104T,16,THENDRAL NAGAR
451,104T,17,THIRUNEERMALAI RD.JN.
452,104T,18,PETROL BUNK
453,104T,19,MUDICHUR RD.JN.
454,104T,20,PERUNGALATHUR
455,104T,21,VANDALUR GATE
456,104T,22,VANDALUR ZOO
457,104T,23,KILAMBAKKAM B.S.
458,105,1,TAMBARAM WEST
459,105,2,TAMBARAM EAST
460,105,3,CONVENT
461,105,4,MAHALAKSHMI NAGAR
462,105,5,S.I.V.E.T
463,105,6,MEDAVAKKAM RD.JN.
464,105,7,CHITHALAPAKKAM
465,105,8,ARASANKAZHANI
466,105,9,OTTIAMBAKKAM
467,105,10,THAZHAMBUR ROAD JN
468,105,11,THAZHAMBUR PANCHAYAT OFFICE
469,105,12,NAVALUR
470,105,13,SIPCOT
471,105,14,SIRUSERI I.T.PARK
472,105A,1,TAMBARAM WEST
473,105A,2,TAMBARAM EAST
474,105A,3,CONVENT
475,105A,4,CAMP ROAD
476,105A,5,BALAJI NAGAR (BHARATH ENG COL)
477,105A,6,MADAMBAKKAM KOIL
478,105A,7,NOOTHANCHERI
479,105A,8,JN.OF MAMBAKKAM & O.BAKKAM RD.
480,105A,9,CHITHALAPAKKAM
481,105A,10,ARASANKAZHANI
482,105A,11,OTTIAMBAKKAM
483,105A,12,KARANAI
484,105A,13,THALAMBUR
485,105A,14,NAVALUR
486,105A,15,SIPCOT
487,105A,16,SIRUSERI I.T.PARK
488,109,1,BROADWAY
489,109,2,SECRETARIAT
490,109,3,CHEPAUK
491,109,4,Q.M.C
492,109,5,FORESHORE ESTATE
493,109,6,A.M.S.HOSPITAL
494,109,7,ADYAR O.T.
495,109,8,ADYAR DEPOT
496,109,9,THIRUVANMIYUR
497,109,10,KOTTIVAKKAM
498,109,11,PALAVAKKAM
499,109,12,NEELANKARAI
500,109,13,VETTUVANKENI
501,109,14,CHOLA MANDAL
502,109,15,V.G.P.
503,109,16,PANAIYUR
504,109,17,UTHANDI VILLAGE
505,109,18,KANATHUR
506,109,19,NATURE CARE HOSPITAL
507,109,20,MUTTUKKADU
508,109,21,MUTTUKKADU BOAT YARD
509,109,22,KOVALAM
510,109C,1,THIRUVANMIYUR
511,109C,2,KOTTIVAKKAM
512,109C,3,PALAVAKKAM
513,109C,4,NEELANKARAI
514,109C,5,VETTUVANKENI
515,109C,6,CHOLA MANDAL
516,109C,7,V.G.P.
517,109C,8,PANAIYUR
518,109C,9,UTHANDI VILLAGE
519,109C,10,KANATHUR
520,109C,11,NATURE CARE HOSPITAL
521,109C,12,MUTTUKKADU
522,109C,13,MUTTUKKADU BOAT YARD
523,109C,14,KOVALAM
524,109CT,1,ADYAR B.S.
525,109CT,2,ADYAR DEPOT
526,109CT,3,THIRUVANMIYUR
527,109CT,4,KOTTIVAKKAM
528,109CT,5,PALAVAKKAM
529,109CT,6,NEELANKARAI
530,109CT,7,VETTUVANKENI
531,109CT,8,CHOLA MANDAL
532,109CT,9,V.G.P.
533,109CT,10,PANAIYUR
534,109CT,11,UTHANDI VILLAGE
535,109CT,12,KANATHUR
536,109CT,13,NATURE CARE HOSPITAL
537,109CT,14,MUTTUKKADU
538,109CT,15,MUTTUKKADU BOAT YARD
539,109CT,16,KOVALAM
540,109T,1,THIRUVOTRIYUR
541,109T,2,THRUVOTRIYUR TEMPLE
542,109T,3,THANGAL
543,109T,4,ANNA NAGAR
544,109T,5,ROYAPURAM P.S
545,109T,6,CLIVE BATTERY
546,109T,7,PARRYS
547,109T,8,SECRETARIAT
548,109T,9,CHEPAUK
549,109T,10,Q.M.C
550,109T,11,FORESHORE ESTATE
551,109T,12,A.M.S.HOSPITAL
552,109T,13,ADYAR O.T.
553,109T,14,ADYAR DEPOT
554,109T,15,THIRUVANMIYUR
555,109T,16,KOTTIVAKKAM
556,109T,17,PALAVAKKAM
557,109T,18,NEELANKARAI
558,109T,19,VETTUVANKENI
559,109T,20,CHOLA MANDAL
560,109T,21,V.G.P.
561,109T,22,PANAIYUR
562,109T,23,UTHANDI VILLAGE
563,109T,24,KANATHUR
564,109T,25,NATURE CARE HOSPITAL
565,109T,26,MUTTUKKADU
566,109T,27,MUTTUKKADU BOAT YARD
567,109T,28,KOVALAM
568,109X,1,BROADWAY
569,109X,2,SECRETARIAT
570,109X,3,CHEPAUK
571,109X,4,Q.M.ARTS COLLEGE
572,109X,5,FORESHORE ESTATE
573,109X,6,A.M.S.HOSPITAL
574,109X,7,ADYAR O.T.
575,109X,8,ADYAR DEPOT
576,109X,9,THIRUVANMIYUR
577,109X,10,KOTTIVAKKAM
578,109X,11,PALAVAKKAM
579,109X,12,NEELANKARAI
580,109X,13,VETTUVANKENI
581,109X,14,CHOLA MANDAL
582,109X,15,V.G.P.
583,109X,16,PANAIYUR
584,109X,17,UTHANDI VILLAGE
585,109X,18,KANATHUR
586,109X,19,NATURE CARE HOSPITAL
587,109X,20,MUTTUKKADU
588,109X,21,MUTTUKKADU BOAT YARD
589,109X,22,KOVALAM
590,109X,23,SALT OFFICE
591,109X,24,KELAMBAKKAM
592,109X,25,CHENGAMMAL RD. JN.
593,109X,26,KOMAN NAGAR RD JN.
594,109X,27,KALAVAKKAM TEA STALL
595,109X,28,THIRUPORUR
596,10A,1,TOLLGATE
597,10A,2,TONDAIAYRPET
598,10A,3,KALMANDAPAM P.S.
599,10A,4,CLIVE BATTERY
600,10A,5,PARRYS\BROADWAY
601,10A,6,M.G.R.CENTRAL
602,10A,7,EGMORE
603,10A,8,MATERNITY HOSPITAL
604,10A,9,D.P.I
605,10A,10,STERLING RD./METROLOG. DEPT.
606,10A,11,VIDYODAYA
607,10A,12,PONDY BAZAAR/VIVEK & CO
608,10A,13,THIAGARAYA NAGAR
609,10A,14,SRINIVASA THEATER
610,10A,15,SAIDAPET WEST
611,10E,1,BROADWAY
612,10E,2,M.G.R.CENTRAL
613,10E,3,EGMORE
614,10E,4,MATERNITY HOSPITAL
615,10E,5,D.P.I
616,10E,6,STERLING RD./METROLOG. DEPT.
617,10E,7,VIDYODAYA
618,10E,8,VIVEK & CO (KRISHNAN KOIL)
619,10E,9,THIAGARAYA NAGAR
620,10E,10,SRINIVASA THEATER
621,10E,11,GOVT. GIRLS H.SC
622,10E,12,JAFFARKHAN PET
623,10E,13,EKKATTUTHANGAL
624,11,1,BROADWAY
625,11,2,M.G.R.CENTRAL
626,11,3,P.OR & SONS
627,11,4,T.V.S
628,11,5,D.M.S
629,11,6,PONDY BAZAAR
630,11,7,THIAGARAYA NAGAR
631,111,1,THIRUVERKADU
632,111,2,VELAPPANCHAVADI
633,111,3,VAANAGARAM
634,111,4,MADURAVOYAL
635,111,5,NERKUNDRAM
636,111,6,KOYAMBEDU MARKET
637,111,7,KOYAMBEDU P.S
638,111,8,M.M.D.A.COLONY RD.JN.
639,111,9,JN OF III AND 1ST AVE
640,111,10,JAFFARKHAN PET
641,111,11,CIPET
642,111,12,ST THOMAS MOUNT PO
643,111,13,MEENAMABAKKAM OLD AIRPORT
644,111,14,THIRUSOOLAM NATIONAL AIRPORT
645,111,15,PALLAVARAM
646,111,16,CHROMEPET
647,111,17,T.B.SANATORIUM
648,111,18,TAMBARAM
649,111ET,1,THIRUVERKADU
650,111ET,2,VELAPPANCHAVADI
651,111ET,3,VAANAGARAM
652,111ET,4,MADURAVOYAL
653,111ET,5,NERKUNDRAM
654,111ET,6,KOYAMBEDU MARKET
655,111ET,7,KOYAMBEDU P.S
656,111ET,8,M.M.D.A.COLONY RD.JN.
657,111ET,9,JN OF III AND 1ST AVE
658,111ET,10,JAFFARKHAN PET
659,111ET,11,CIPET
660,111ET,12,ST THOMAS MOUNT PO
661,111ET,13,MEENAMABAKKAM OLD AIRPORT
662,111ET,14,THIRUSOOLAM NATIONAL AIRPORT
663,111ET,15,PALLAVARAM
664,111ET,16,CHROMEPET
665,111ET,17,T.B.SANATORIUM
666,111ET,18,TAMBARAM
667,111ET,19,IRUMBULIYUR
668,111ET,20,PERUNGALATHUR
669,111ET,21,VANDALUR GATE
670,111ET,22,VANDALUR ZOO
671,111ET,23,KILAMBAKKAM B.S.
672,113,1,REDHILLS
673,113,2,AAYURVEDA ASHRAMAM
674,113,3,KAVANGARAI
675,113,4,KATHIRVEDU
676,113,5,VINAYAGAPURAM
677,113,6,MALLIGAI NAGAR AVE
678,113,7,WATER PIPE THATHANKUPPAM
679,113,8,WEELS INDIA RD.JN.
680,113,9,THIRUMANGALAM
681,113,10,KOYAMBEDU SCHOOL
682,113,11,M.M.D.A.COLONY RD.JN.
683,113,12,JN OF III AND 1ST AVE
684,113,13,JAFFARKHAN PET
685,113,14,CIPET
686,113,15,GUINDY TVK ESTATE
687,114,1,REDHILLS
688,114,2,AAYURVEDA ASHRAMAM
689,114,3,KAVANGARAI
690,114,4,CYCLE SHOP
691,114,5,BUS BAY-17TH KM
692,114,6,MALLIGAI NAGAR AVE
693,114,7,WATER PIPE THATHANKUPPAM
694,114,8,WEELS INDIA RD.JN.
695,114,9,THIRUMANGALAM
696,114,10,KOYAMBEDU SCHOOL
697,114,11,M.G.R.KOYAMBEDU
698,114A,1,REDHILLS
699,114A,2,AAYURVEDA ASHRAMAM
700,114A,3,KAVANGARAI
701,114A,4,CYCLE SHOP
702,114A,5,BUS BAY-17TH KM
703,114A,6,MALLIGAI NAGAR AVE
704,114A,7,SRINIVASA NAGAR
705,114A,8,VILLIVAKKAM
706,114A,9,KAMABAR ARANGAM
707,114A,10,AYANAVARAM B.S.
708,114C,1,M.G.R.KOYAMBEDU
709,114C,2,KOYAMBEDU SCHOOL
710,114C,3,THIRUMANGALAM
711,114C,4,WEELS INDIA RD.JN.
712,114C,5,WATER PIPE THATHANKUPPAM
713,114C,6,MALLIGAI NAGAR AVE
714,114C,7,BUS BAY-17TH KM
715,114C,8,CYCLE SHOP
716,114C,9,KAVANGARAI
717,114C,10,AAYURVEDA ASHRAMAM
718,114C,11,REDHILLS
719,114C,12,PAMMADU KULAM RD.JN.
720,114C,13,ALAMADHI OLD
721,114C,14,DRY CATTLLE FORM
722,114C,15,ALAMADHI
723,114C,16,AMBEDKAR NAGAR
724,114C,17,POOCHIATHIPEDU
725,114C,18,GURUVOYAL KARANIBATTAI
726,114C,19,GURUVOYAL VILLAGE
727,114C,20,SETHUPAKKAM
728,114C,21,AGARAM KANDIGAI
729,114C,22,TAMARAPAKKAM KOOT RD
730,114CCT,1,M.G.R.KOYAMBEDU
731,114CCT,2,KOYAMBEDU SCHOOL
732,114CCT,3,THIRUMANGALAM
733,114CCT,4,WEELS INDIA RD.JN.
734,114CCT,5,WATER PIPE THATHANKUPPAM
735,114CCT,6,MALLIGAI NAGAR AVE
736,114CCT,7,BUS BAY-17TH KM
737,114CCT,8,CYCLE SHOP
738,114CCT,9,KAVANGARAI
739,114CCT,10,AAYURVEDA ASHRAMAM
740,114CCT,11,REDHILLS
