route_id,stop_id,stop_name,next_stop,derived_next_stop,derived_stop_name
104,1,REDHILLS,AYURVEDHA ASHARAMAM,104-AYURVEDHA ASHARAMAM,104-REDHILLS
104,2,AYURVEDHA ASHARAMAM,KAVANGARAI,104-KAVANGARAI,104-AYURVEDHA ASHARAMAM
104,3,KAVANGARAI,SCREW FACTORY,104-SCREW FACTORY,104-KAVANGARAI
104,4,SCREW FACTORY,SURAPEDU,104-SURAPEDU,104-SCREW FACTORY
104,5,SURAPEDU,KALLIKUPPAM,104-KALLIKUPPAM,104-SURAPEDU
104,6,KALLIKUPPAM,PUDUR,104-PUDUR,104-KALLIKUPPAM
104,7,PUDUR,AMBATTUR O.T.,104-AMBATTUR O.T.,104-PUDUR
104,8,AMBATTUR O.T.,DUNLOP,DUNLOP,104-AMBATTUR O.T.
104,9,DUNLOP,AMBATTUR I.E.,104-AMBATTUR I.E.,DUNLOP
104,10,AMBATTUR I.E.,NALAMBUR SERVICE RD,104-NALAMBUR SERVICE RD,104-AMBATTUR I.E.
104,11,NALAMBUR SERVICE RD,MADURAVOYAL JN,104-MADURAVOYAL JN,104-NALAMBUR SERVICE RD
104,12,MADURAVOYAL JN,TVS MCC MOTORS,104-TVS MCC MOTORS,104-MADURAVOYAL JN
104,13,TVS MCC MOTORS,TOLL PLAZA,104-TOLL PLAZA,104-TVS MCC MOTORS
104,14,TOLL PLAZA,PORUR JN,104-PORUR JN,104-TOLL PLAZA
104,15,PORUR JN,MANGADU RD JN,104-MANGADU RD JN,104-PORUR JN
104,16,MANGADU RD JN,KOVOOR RD JN,104-KOVOOR RD JN,104-MANGADU RD JN
104,17,KOVOOR RD JN,PAMMAL ADAYAR BRIDGE,104-PAMMAL ADAYAR BRIDGE,104-KOVOOR RD JN
104,18,PAMMAL ADAYAR BRIDGE,THENDRAL NAGAR,104-THENDRAL NAGAR,104-PAMMAL ADAYAR BRIDGE
104,19,THENDRAL NAGAR,THIRUNEERMALAI RD JN.,104-THIRUNEERMALAI RD JN.,104-THENDRAL NAGAR
104,20,THIRUNEERMALAI RD JN.,PETROL BUNK,104-PETROL BUNK,104-THIRUNEERMALAI RD JN.
104,21,PETROL BUNK,MUDICHUR RD JN.,104-MUDICHUR RD JN.,104-PETROL BUNK
104,22,MUDICHUR RD JN.,IRUMBULIYUR,104-IRUMBULIYUR,104-MUDICHUR RD JN.
104,23,IRUMBULIYUR,TAMBARAM,104-TAMBARAM,104-IRUMBULIYUR
104,24,TAMBARAM,104,104,104-TAMBARAM
104A,1,AVADI,POLYTECHNIC,104A-POLYTECHNIC,104A-AVADI
104A,2,POLYTECHNIC,THIRUMULLAIVOYAL,104A-THIRUMULLAIVOYAL,104A-POLYTECHNIC
104A,3,THIRUMULLAIVOYAL,AMBATTUR O.T.,104A-AMBATTUR O.T.,104A-THIRUMULLAIVOYAL
104A,4,AMBATTUR O.T.,DUNLOP,DUNLOP,104A-AMBATTUR O.T.
104A,5,DUNLOP,AMBATTUR I.E.,104A-AMBATTUR I.E.,DUNLOP
104A,6,AMBATTUR I.E.,NOLAMBUR SERVICE RD,104A-NOLAMBUR SERVICE RD,104A-AMBATTUR I.E.
104A,7,NOLAMBUR SERVICE RD,MADURAVOYAL JN,104A-MADURAVOYAL JN,104A-NOLAMBUR SERVICE RD
104A,8,MADURAVOYAL JN,TVS MCC MOTORS,104A-TVS MCC MOTORS,104A-MADURAVOYAL JN
104A,9,TVS MCC MOTORS,TOLL PLAZA,104A-TOLL PLAZA,104A-TVS MCC MOTORS
104A,10,TOLL PLAZA,PORUR JN,104A-PORUR JN,104A-TOLL PLAZA
104A,11,PORUR JN,MANGADU RD JN,104A-MANGADU RD JN,104A-PORUR JN
104A,12,MANGADU RD JN,KOVOOR RD JN,104A-KOVOOR RD JN,104A-MANGADU RD JN
104A,13,KOVOOR RD JN,PAMMAL ADAYAR BRIDGE,104A-PAMMAL ADAYAR BRIDGE,104A-KOVOOR RD JN
104A,14,PAMMAL ADAYAR BRIDGE,THENDRAL NAGAR,104A-THENDRAL NAGAR,104A-PAMMAL ADAYAR BRIDGE
104A,15,THENDRAL NAGAR,THIRUNEERMALAI RD.JN.,104A-THIRUNEERMALAI RD.JN.,104A-THENDRAL NAGAR
104A,16,THIRUNEERMALAI RD.JN.,PETROL BUNK,104A-PETROL BUNK,104A-THIRUNEERMALAI RD.JN.
104A,17,PETROL BUNK,MUDICHUR RD.JN.,104A-MUDICHUR RD.JN.,104A-PETROL BUNK
104A,18,MUDICHUR RD.JN.,IRUMBULIYUR,104A-IRUMBULIYUR,104A-MUDICHUR RD.JN.
104A,19,IRUMBULIYUR,PERUNGALATHUR,104A-PERUNGALATHUR,104A-IRUMBULIYUR
104A,20,PERUNGALATHUR,VANDALUR GATE,104A-VANDALUR GATE,104A-PERUNGALATHUR
104A,21,VANDALUR GATE,VANDALUR ZOO,104A-VANDALUR ZOO,104A-VANDALUR GATE
104A,22,VANDALUR ZOO,KILAMBAKKAM B.S.,104A-KILAMBAKKAM B.S.,104A-VANDALUR ZOO
104A,23,KILAMBAKKAM B.S.,104A,104A,104A-KILAMBAKKAM B.S.
104K,1,REDHILLS,AYURVEDHA ASHARAMAM,104K-AYURVEDHA ASHARAMAM,104K-REDHILLS
104K,2,AYURVEDHA ASHARAMAM,KAVANGARAI,104K-KAVANGARAI,104K-AYURVEDHA ASHARAMAM
104K,3,KAVANGARAI,SCREW FACTORY,104K-SCREW FACTORY,104K-KAVANGARAI
104K,4,SCREW FACTORY,SURAPEDU,104K-SURAPEDU,104K-SCREW FACTORY
104K,5,SURAPEDU,KALLIKUPPAM,104K-KALLIKUPPAM,104K-SURAPEDU
104K,6,KALLIKUPPAM,PUDUR,104K-PUDUR,104K-KALLIKUPPAM
104K,7,PUDUR,AMBATTUR O.T.,104K-AMBATTUR O.T.,104K-PUDUR
104K,8,AMBATTUR O.T.,DUNLOP,DUNLOP,104K-AMBATTUR O.T.
104K,9,DUNLOP,AMBATTUR I.E.,104K-AMBATTUR I.E.,DUNLOP
104K,10,AMBATTUR I.E.,NALAMBUR SERVICE RD,104K-NALAMBUR SERVICE RD,104K-AMBATTUR I.E.
104K,11,NALAMBUR SERVICE RD,MADURAVOYAL JN,104K-MADURAVOYAL JN,104K-NALAMBUR SERVICE RD
104K,12,MADURAVOYAL JN,TVS MCC MOTORS,104K-TVS MCC MOTORS,104K-MADURAVOYAL JN
104K,13,TVS MCC MOTORS,TOLL PLAZA,104K-TOLL PLAZA,104K-TVS MCC MOTORS
104K,14,TOLL PLAZA,PORUR JN,104K-PORUR JN,104K-TOLL PLAZA
104K,15,PORUR JN,MANGADU RD JN,104K-MANGADU RD JN,104K-PORUR JN
104K,16,MANGADU RD JN,KOVOOR RD JN,104K-KOVOOR RD JN,104K-MANGADU RD JN
104K,17,KOVOOR RD JN,PAMMAL ADAYAR BRIDGE,104K-PAMMAL ADAYAR BRIDGE,104K-KOVOOR RD JN
104K,18,PAMMAL ADAYAR BRIDGE,THENDRAL NAGAR,104K-THENDRAL NAGAR,104K-PAMMAL ADAYAR BRIDGE
104K,19,THENDRAL NAGAR,THIRUNEERMALAI RD JN.,104K-THIRUNEERMALAI RD JN.,104K-THENDRAL NAGAR
104K,20,THIRUNEERMALAI RD JN.,PETROL BUNK,104K-PETROL BUNK,104K-THIRUNEERMALAI RD JN.
104K,21,PETROL BUNK,MUDICHUR RD JN.,104K-MUDICHUR RD JN.,104K-PETROL BUNK
104K,22,MUDICHUR RD JN.,PERUNGALATHUR,104K-PERUNGALATHUR,104K-MUDICHUR RD JN.
104K,23,PERUNGALATHUR,VANDALUR GATE,104K-VANDALUR GATE,104K-PERUNGALATHUR
104K,24,VANDALUR GATE,VANDALUR ZOO,104K-VANDALUR ZOO,104K-VANDALUR GATE
104K,25,VANDALUR ZOO,KILAMBAKKAM B.S.,104K-KILAMBAKKAM B.S.,104K-VANDALUR ZOO
104K,26,KILAMBAKKAM B.S.,104K,104K,104K-KILAMBAKKAM B.S.
120,1,BROADWAY,M.G.R.CENTRAL,120-M.G.R.CENTRAL,120-BROADWAY
120,2,M.G.R.CENTRAL,DHARMAPRAKASH/PETROL BUNK,120-DHARMAPRAKASH/PETROL BUNK,120-M.G.R.CENTRAL
120,3,DHARMAPRAKASH/PETROL BUNK,KELLEYS,120-KELLEYS,120-DHARMAPRAKASH/PETROL BUNK
120,4,KELLEYS,SAYANI/AYNAVARAM,120-SAYANI/AYNAVARAM,120-KELLEYS
120,5,SAYANI/AYNAVARAM,KAMABAR ARANGAM,120-KAMABAR ARANGAM,120-SAYANI/AYNAVARAM
120,6,KAMABAR ARANGAM,NATHAMUNI TALKIES,120-NATHAMUNI TALKIES,120-KAMABAR ARANGAM
120,7,NATHAMUNI TALKIES,LUCAS TVS,120-LUCAS TVS,120-NATHAMUNI TALKIES
120,8,LUCAS TVS,AMBATTUR I.E.,120-AMBATTUR I.E.,120-LUCAS TVS
120,9,AMBATTUR I.E.,DUNLOP,DUNLOP,120-AMBATTUR I.E.
120,10,DUNLOP,AMBATTUR O.T.,120-AMBATTUR O.T.,DUNLOP
120,11,AMBATTUR O.T.,THIRUMULLAIVOYAL,120-THIRUMULLAIVOYAL,120-AMBATTUR O.T.
120,12,THIRUMULLAIVOYAL,POLYTECHNIC,120-POLYTECHNIC,120-THIRUMULLAIVOYAL
120,13,POLYTECHNIC,AVADI,120-AVADI,120-POLYTECHNIC
120,14,AVADI,120,120,120-AVADI
120A,1,BROADWAY,M.G.R.CENTRAL,120A-M.G.R.CENTRAL,120A-BROADWAY
120A,2,M.G.R.CENTRAL,DHARMAPRAKASH/PETROL BUNK,120A-DHARMAPRAKASH/PETROL BUNK,120A-M.G.R.CENTRAL
120A,3,DHARMAPRAKASH/PETROL BUNK,KELLEYS,120A-KELLEYS,120A-DHARMAPRAKASH/PETROL BUNK
120A,4,KELLEYS,SAYANI/AYNAVARAM,120A-SAYANI/AYNAVARAM,120A-KELLEYS
120A,5,SAYANI/AYNAVARAM,KAMABAR ARANGAM,120A-KAMABAR ARANGAM,120A-SAYANI/AYNAVARAM
120A,6,KAMABAR ARANGAM,NATHAMUNI TALKIES,120A-NATHAMUNI TALKIES,120A-KAMABAR ARANGAM
120A,7,NATHAMUNI TALKIES,LUCAS TVS,120A-LUCAS TVS,120A-NATHAMUNI TALKIES
120A,8,LUCAS TVS,AMBATTUR I.E.,120A-AMBATTUR I.E.,120A-LUCAS TVS
120A,9,AMBATTUR I.E.,DUNLOP,DUNLOP,120A-AMBATTUR I.E.
120A,10,DUNLOP,AMBATTUR O.T.,120A-AMBATTUR O.T.,DUNLOP
120A,11,AMBATTUR O.T.,THIRUMULLAIVOYAL,120A-THIRUMULLAIVOYAL,120A-AMBATTUR O.T.
120A,12,THIRUMULLAIVOYAL,POLYTECHNIC,120A-POLYTECHNIC,120A-THIRUMULLAIVOYAL
120A,13,POLYTECHNIC,AVADI CIRCLE,120A-AVADI CIRCLE,120A-POLYTECHNIC
120A,14,AVADI CIRCLE,KOILPATHAGAI RD.JN.,120A-KOILPATHAGAI RD.JN.,120A-AVADI CIRCLE
120A,15,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,120A-H.V.F.MAIN GATE,120A-KOILPATHAGAI RD.JN.
120A,16,H.V.F.MAIN GATE,AAFS CROSS ROAD,120A-AAFS CROSS ROAD,120A-H.V.F.MAIN GATE
120A,17,AAFS CROSS ROAD,VENGAL CROSS ROAD,120A-VENGAL CROSS ROAD,120A-AAFS CROSS ROAD
120A,18,VENGAL CROSS ROAD,VEERAPURAM,120A-VEERAPURAM,120A-VENGAL CROSS ROAD
120A,19,VEERAPURAM,ARAKKAMBAKKAM RD.JN.,120A-ARAKKAMBAKKAM RD.JN.,120A-VEERAPURAM
120A,20,ARAKKAMBAKKAM RD.JN.,ARAKKAMBAKKAM,120A-ARAKKAMBAKKAM,120A-ARAKKAMBAKKAM RD.JN.
120A,21,ARAKKAMBAKKAM,120A,120A,120A-ARAKKAMBAKKAM
120CT,1,BROADWAY,M.G.R.CENTRAL,120CT-M.G.R.CENTRAL,120CT-BROADWAY
120CT,2,M.G.R.CENTRAL,DHARMAPRAKASH/PETROL BUNK,120CT-DHARMAPRAKASH/PETROL BUNK,120CT-M.G.R.CENTRAL
120CT,3,DHARMAPRAKASH/PETROL BUNK,KELLEYS,120CT-KELLEYS,120CT-DHARMAPRAKASH/PETROL BUNK
120CT,4,KELLEYS,SAYANI/AYNAVARAM,120CT-SAYANI/AYNAVARAM,120CT-KELLEYS
120CT,5,SAYANI/AYNAVARAM,KAMABAR ARANGAM,120CT-KAMABAR ARANGAM,120CT-SAYANI/AYNAVARAM
120CT,6,KAMABAR ARANGAM,NATHAMUNI TALKIES,120CT-NATHAMUNI TALKIES,120CT-KAMABAR ARANGAM
120CT,7,NATHAMUNI TALKIES,LUCAS TVS,120CT-LUCAS TVS,120CT-NATHAMUNI TALKIES
120CT,8,LUCAS TVS,AMBATTUR I.E.,120CT-AMBATTUR I.E.,120CT-LUCAS TVS
120CT,9,AMBATTUR I.E.,DUNLOP,DUNLOP,120CT-AMBATTUR I.E.
120CT,10,DUNLOP,AMBATTUR O.T.,120CT-AMBATTUR O.T.,DUNLOP
120CT,11,AMBATTUR O.T.,THIRUMULLAIVOYAL,120CT-THIRUMULLAIVOYAL,120CT-AMBATTUR O.T.
120CT,12,THIRUMULLAIVOYAL,PERIYAR NAGAR,120CT-PERIYAR NAGAR,120CT-THIRUMULLAIVOYAL
120CT,13,PERIYAR NAGAR,VENKATACHALAM NAGAR,120CT-VENKATACHALAM NAGAR,120CT-PERIYAR NAGAR
120CT,14,VENKATACHALAM NAGAR,120CT,120CT,120CT-VENKATACHALAM NAGAR
120E,1,BROADWAY,M.G.R.CENTRAL,120E-M.G.R.CENTRAL,120E-BROADWAY
120E,2,M.G.R.CENTRAL,DHARMAPRAKASH/PETROL BUNK,120E-DHARMAPRAKASH/PETROL BUNK,120E-M.G.R.CENTRAL
120E,3,DHARMAPRAKASH/PETROL BUNK,KELLEYS,120E-KELLEYS,120E-DHARMAPRAKASH/PETROL BUNK
120E,4,KELLEYS,SAYANI/AYNAVARAM,120E-SAYANI/AYNAVARAM,120E-KELLEYS
120E,5,SAYANI/AYNAVARAM,KAMABAR ARANGAM,120E-KAMABAR ARANGAM,120E-SAYANI/AYNAVARAM
120E,6,KAMABAR ARANGAM,NATHAMUNI TALKIES,120E-NATHAMUNI TALKIES,120E-KAMABAR ARANGAM
120E,7,NATHAMUNI TALKIES,LUCAS TVS,120E-LUCAS TVS,120E-NATHAMUNI TALKIES
120E,8,LUCAS TVS,AMBATTUR I.E.,120E-AMBATTUR I.E.,120E-LUCAS TVS
120E,9,AMBATTUR I.E.,DUNLOP,DUNLOP,120E-AMBATTUR I.E.
120E,10,DUNLOP,AMBATTUR O.T.,120E-AMBATTUR O.T.,DUNLOP
120E,11,AMBATTUR O.T.,THIRUMULLAIVOYAL,120E-THIRUMULLAIVOYAL,120E-AMBATTUR O.T.
120E,12,THIRUMULLAIVOYAL,POLYTECHNIC,120E-POLYTECHNIC,120E-THIRUMULLAIVOYAL
120E,13,POLYTECHNIC,AVADI CIRCLE,120E-AVADI CIRCLE,120E-POLYTECHNIC
120E,14,AVADI CIRCLE,KOILPATHAGAI RD.JN.,120E-KOILPATHAGAI RD.JN.,120E-AVADI CIRCLE
120E,15,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,120E-H.V.F.MAIN GATE,120E-KOILPATHAGAI RD.JN.
120E,16,H.V.F.MAIN GATE,AAFS CROSS ROAD,120E-AAFS CROSS ROAD,120E-H.V.F.MAIN GATE
120E,17,AAFS CROSS ROAD,VENGAL CROSS ROAD,120E-VENGAL CROSS ROAD,120E-AAFS CROSS ROAD
120E,18,VENGAL CROSS ROAD,VEERAPURAM,120E-VEERAPURAM,120E-VENGAL CROSS ROAD
120E,19,VEERAPURAM,ARAKKAMBAKKAM,120E-ARAKKAMBAKKAM,120E-VEERAPURAM
120E,20,ARAKKAMBAKKAM,PANDESWARAM,120E-PANDESWARAM,120E-ARAKKAMBAKKAM
120E,21,PANDESWARAM,KADHAVOOR RD.JN.,120E-KADHAVOOR RD.JN.,120E-PANDESWARAM
120E,22,KADHAVOOR RD.JN.,KILKONDAIYUR,120E-KILKONDAIYUR,120E-KADHAVOOR RD.JN.
120E,23,KILKONDAIYUR,120E,120E,120E-KILKONDAIYUR
120F,1,BROADWAY,M.G.R.CENTRAL,120F-M.G.R.CENTRAL,120F-BROADWAY
120F,2,M.G.R.CENTRAL,DHARMAPRAKASH/PETROL BUNK,120F-DHARMAPRAKASH/PETROL BUNK,120F-M.G.R.CENTRAL
120F,3,DHARMAPRAKASH/PETROL BUNK,KELLEYS,120F-KELLEYS,120F-DHARMAPRAKASH/PETROL BUNK
120F,4,KELLEYS,SAYANI/AYNAVARAM,120F-SAYANI/AYNAVARAM,120F-KELLEYS
120F,5,SAYANI/AYNAVARAM,KAMABAR ARANGAM,120F-KAMABAR ARANGAM,120F-SAYANI/AYNAVARAM
120F,6,KAMABAR ARANGAM,NATHAMUNI TALKIES,120F-NATHAMUNI TALKIES,120F-KAMABAR ARANGAM
120F,7,NATHAMUNI TALKIES,LUCAS TVS,120F-LUCAS TVS,120F-NATHAMUNI TALKIES
120F,8,LUCAS TVS,AMBATTUR I.E.,120F-AMBATTUR I.E.,120F-LUCAS TVS
120F,9,AMBATTUR I.E.,DUNLOP,DUNLOP,120F-AMBATTUR I.E.
120F,10,DUNLOP,AMBATTUR O.T.,120F-AMBATTUR O.T.,DUNLOP
120F,11,AMBATTUR O.T.,ORAGADAM O.T.,120F-ORAGADAM O.T.,120F-AMBATTUR O.T.
120F,12,ORAGADAM O.T.,ORAGADAM,120F-ORAGADAM,120F-ORAGADAM O.T.
120F,13,ORAGADAM,120F,120F,120F-ORAGADAM
120G,1,BROADWAY,M.G.R.CENTRAL,120G-M.G.R.CENTRAL,120G-BROADWAY
120G,2,M.G.R.CENTRAL,DHARMAPRAKASH/PETROL BUNK,120G-DHARMAPRAKASH/PETROL BUNK,120G-M.G.R.CENTRAL
120G,3,DHARMAPRAKASH/PETROL BUNK,KELLEYS,120G-KELLEYS,120G-DHARMAPRAKASH/PETROL BUNK
120G,4,KELLEYS,SAYANI/AYNAVARAM,120G-SAYANI/AYNAVARAM,120G-KELLEYS
120G,5,SAYANI/AYNAVARAM,KAMABAR ARANGAM,120G-KAMABAR ARANGAM,120G-SAYANI/AYNAVARAM
120G,6,KAMABAR ARANGAM,NATHAMUNI TALKIES,120G-NATHAMUNI TALKIES,120G-KAMABAR ARANGAM
120G,7,NATHAMUNI TALKIES,LUCAS TVS,120G-LUCAS TVS,120G-NATHAMUNI TALKIES
120G,8,LUCAS TVS,AMBATTUR I.E.,120G-AMBATTUR I.E.,120G-LUCAS TVS
120G,9,AMBATTUR I.E.,DUNLOP,DUNLOP,120G-AMBATTUR I.E.
120G,10,DUNLOP,AMBATTUR O.T.,120G-AMBATTUR O.T.,DUNLOP
120G,11,AMBATTUR O.T.,VENGATAPURAM,120G-VENGATAPURAM,120G-AMBATTUR O.T.
120G,12,VENGATAPURAM,MENAMBEDU,120G-MENAMBEDU,120G-VENGATAPURAM
120G,13,MENAMBEDU,120G,120G,120G-MENAMBEDU
120K,1,BROADWAY,M.G.R.CENTRAL,120K-M.G.R.CENTRAL,120K-BROADWAY
120K,2,M.G.R.CENTRAL,DHARMAPRAKASH/PETROL BUNK,120K-DHARMAPRAKASH/PETROL BUNK,120K-M.G.R.CENTRAL
120K,3,DHARMAPRAKASH/PETROL BUNK,KELLEYS,120K-KELLEYS,120K-DHARMAPRAKASH/PETROL BUNK
120K,4,KELLEYS,SAYANI/AYNAVARAM,120K-SAYANI/AYNAVARAM,120K-KELLEYS
120K,5,SAYANI/AYNAVARAM,KAMABAR ARANGAM,120K-KAMABAR ARANGAM,120K-SAYANI/AYNAVARAM
120K,6,KAMABAR ARANGAM,NATHAMUNI TALKIES,120K-NATHAMUNI TALKIES,120K-KAMABAR ARANGAM
120K,7,NATHAMUNI TALKIES,LUCAS TVS,120K-LUCAS TVS,120K-NATHAMUNI TALKIES
120K,8,LUCAS TVS,AMBATTUR I.E.,120K-AMBATTUR I.E.,120K-LUCAS TVS
120K,9,AMBATTUR I.E.,DUNLOP,DUNLOP,120K-AMBATTUR I.E.
120K,10,DUNLOP,AMBATTUR O.T.,120K-AMBATTUR O.T.,DUNLOP
120K,11,AMBATTUR O.T.,THIRUMULLAIVOYAL,120K-THIRUMULLAIVOYAL,120K-AMBATTUR O.T.
120K,12,THIRUMULLAIVOYAL,POLYTECHNIC,120K-POLYTECHNIC,120K-THIRUMULLAIVOYAL
120K,13,POLYTECHNIC,AVADI CIRCLE,120K-AVADI CIRCLE,120K-POLYTECHNIC
120K,14,AVADI CIRCLE,KOILPATHAGAI RD.JN.,120K-KOILPATHAGAI RD.JN.,120K-AVADI CIRCLE
120K,15,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,120K-H.V.F.MAIN GATE,120K-KOILPATHAGAI RD.JN.
120K,16,H.V.F.MAIN GATE,AIRFORCE STATION,120K-AIRFORCE STATION,120K-H.V.F.MAIN GATE
120K,17,AIRFORCE STATION,VENGAL CROSS ROAD,120K-VENGAL CROSS ROAD,120K-AIRFORCE STATION
120K,18,VENGAL CROSS ROAD,VEERAPURAM,120K-VEERAPURAM,120K-VENGAL CROSS ROAD
120K,19,VEERAPURAM,NALLUR PUDU NAGAR,120K-NALLUR PUDU NAGAR,120K-VEERAPURAM
120K,20,NALLUR PUDU NAGAR,KADHAVOOR,120K-KADHAVOOR,120K-NALLUR PUDU NAGAR
120K,21,KADHAVOOR,120K,120K,120K-KADHAVOOR
120KET,1,BROADWAY,M.G.R.CENTRAL,120KET-M.G.R.CENTRAL,120KET-BROADWAY
120KET,2,M.G.R.CENTRAL,DHARMAPRAKASH/PETROL BUNK,120KET-DHARMAPRAKASH/PETROL BUNK,120KET-M.G.R.CENTRAL
120KET,3,DHARMAPRAKASH/PETROL BUNK,KELLEYS,120KET-KELLEYS,120KET-DHARMAPRAKASH/PETROL BUNK
120KET,4,KELLEYS,SAYANI/AYNAVARAM,120KET-SAYANI/AYNAVARAM,120KET-KELLEYS
120KET,5,SAYANI/AYNAVARAM,KAMABAR ARANGAM,120KET-KAMABAR ARANGAM,120KET-SAYANI/AYNAVARAM
120KET,6,KAMABAR ARANGAM,NATHAMUNI TALKIES,120KET-NATHAMUNI TALKIES,120KET-KAMABAR ARANGAM
120KET,7,NATHAMUNI TALKIES,LUCAS TVS,120KET-LUCAS TVS,120KET-NATHAMUNI TALKIES
120KET,8,LUCAS TVS,AMBATTUR I.E.,120KET-AMBATTUR I.E.,120KET-LUCAS TVS
120KET,9,AMBATTUR I.E.,DUNLOP,DUNLOP,120KET-AMBATTUR I.E.
120KET,10,DUNLOP,AMBATTUR O.T.,120KET-AMBATTUR O.T.,DUNLOP
120KET,11,AMBATTUR O.T.,THIRUMULLAIVOYAL,120KET-THIRUMULLAIVOYAL,120KET-AMBATTUR O.T.
120KET,12,THIRUMULLAIVOYAL,POLYTECHNIC,120KET-POLYTECHNIC,120KET-THIRUMULLAIVOYAL
120KET,13,POLYTECHNIC,AVADI CIRCLE,120KET-AVADI CIRCLE,120KET-POLYTECHNIC
120KET,14,AVADI CIRCLE,KOILPATHAGAI RD.JN.,120KET-KOILPATHAGAI RD.JN.,120KET-AVADI CIRCLE
120KET,15,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,120KET-H.V.F.MAIN GATE,120KET-KOILPATHAGAI RD.JN.
120KET,16,H.V.F.MAIN GATE,AAFS CROSS ROAD,120KET-AAFS CROSS ROAD,120KET-H.V.F.MAIN GATE
120KET,17,AAFS CROSS ROAD,VENGAL CROSS ROAD,120KET-VENGAL CROSS ROAD,120KET-AAFS CROSS ROAD
120KET,18,VENGAL CROSS ROAD,VEERAPURAM RD JN.,120KET-VEERAPURAM RD JN.,120KET-VENGAL CROSS ROAD
120KET,19,VEERAPURAM RD JN.,MORAI,120KET-MORAI,120KET-VEERAPURAM RD JN.
120KET,20,MORAI,KADHAVOOR,120KET-KADHAVOOR,120KET-MORAI
120KET,21,KADHAVOOR,KADHAVOOR RD.JN.,120KET-KADHAVOOR RD.JN.,120KET-KADHAVOOR
120KET,22,KADHAVOOR RD.JN.,KILKONDAIYUR,120KET-KILKONDAIYUR,120KET-KADHAVOOR RD.JN.
120KET,23,KILKONDAIYUR,120KET,120KET,120KET-KILKONDAIYUR
147C,1,AMBATTUR O.T.,DUNLOP,DUNLOP,147C-AMBATTUR O.T.
147C,2,DUNLOP,AMBATTUR I.E.,147C-AMBATTUR I.E.,DUNLOP
147C,3,AMBATTUR I.E.,MOGAIPAIR ROAD JN.,147C-MOGAIPAIR ROAD JN.,147C-AMBATTUR I.E.
147C,4,MOGAIPAIR ROAD JN.,THIRUMANGALAM,147C-THIRUMANGALAM,147C-MOGAIPAIR ROAD JN.
147C,5,THIRUMANGALAM,ANNA NAGAR CIRCLE,147C-ANNA NAGAR CIRCLE,147C-THIRUMANGALAM
147C,6,ANNA NAGAR CIRCLE,HOTEL ARUN,147C-HOTEL ARUN,147C-ANNA NAGAR CIRCLE
147C,7,HOTEL ARUN,NUNGAMBAKKAM R.S.,147C-NUNGAMBAKKAM R.S.,147C-HOTEL ARUN
147C,8,NUNGAMBAKKAM R.S.,STERLING RD./METROLOG. DEPT.,147C-STERLING RD./METROLOG. DEPT.,147C-NUNGAMBAKKAM R.S.
147C,9,STERLING RD./METROLOG. DEPT.,UTHAMAR GANDHISALAI (CORP.OFF),147C-UTHAMAR GANDHISALAI (CORP.OFF),147C-STERLING RD./METROLOG. DEPT.
147C,10,UTHAMAR GANDHISALAI (CORP.OFF),VIDYODAYA,147C-VIDYODAYA,147C-UTHAMAR GANDHISALAI (CORP.OFF)
147C,11,VIDYODAYA,PONDY BAZAAR,147C-PONDY BAZAAR,147C-VIDYODAYA
147C,12,PONDY BAZAAR,THIAGARAYA NAGAR,147C-THIAGARAYA NAGAR,147C-PONDY BAZAAR
147C,13,THIAGARAYA NAGAR,147C,147C,147C-THIAGARAYA NAGAR
147V,1,VENKATACHALAM NAGAR,VINAYAGAR KOIL,147V-VINAYAGAR KOIL,147V-VENKATACHALAM NAGAR
147V,2,VINAYAGAR KOIL,THIRUMULLAIVOYAL,147V-THIRUMULLAIVOYAL,147V-VINAYAGAR KOIL
147V,3,THIRUMULLAIVOYAL,AMBATTUR O.T.,147V-AMBATTUR O.T.,147V-THIRUMULLAIVOYAL
147V,4,AMBATTUR O.T.,DUNLOP,DUNLOP,147V-AMBATTUR O.T.
147V,5,DUNLOP,MOGAIPAIR ROAD JN.,147V-MOGAIPAIR ROAD JN.,DUNLOP
147V,6,MOGAIPAIR ROAD JN.,THIRUMANGALAM,147V-THIRUMANGALAM,147V-MOGAIPAIR ROAD JN.
147V,7,THIRUMANGALAM,ANNA NAGAR CIRCLE,147V-ANNA NAGAR CIRCLE,147V-THIRUMANGALAM
147V,8,ANNA NAGAR CIRCLE,HOTEL ARUN,147V-HOTEL ARUN,147V-ANNA NAGAR CIRCLE
147V,9,HOTEL ARUN,NUNGAMBAKKAM R.S.,147V-NUNGAMBAKKAM R.S.,147V-HOTEL ARUN
147V,10,NUNGAMBAKKAM R.S.,STERLING RD./METROLOG. DEPT.,147V-STERLING RD./METROLOG. DEPT.,147V-NUNGAMBAKKAM R.S.
147V,11,STERLING RD./METROLOG. DEPT.,UTHAMAR GANDHISALAI (CORP.OFF),147V-UTHAMAR GANDHISALAI (CORP.OFF),147V-STERLING RD./METROLOG. DEPT.
